patent,abstract,title
08342385,,"Process for mapping formic acid distribution",
08342386,,"Braze materials and processes therefor",
08342387,,"Spherical solder reflow method",
08342388,,"Crimping marks reducing wrapper for rolls",
08342389,,"Films, packaging and methods for making them",
08342390,,"Delivery container for digital disc",
08342391,,"Travel kiosk",
08342392,,"Method and apparatus for providing secure document distribution",
08342393,,"Attributing harvest information with unique identifiers",
08342394,,"Automated appliance registration",
08342395,,"Card activated cash dispensing automated banking machine",
08342396,,"Banking system controlled responsive to data bearing records",
08342397,,"Method of transmitting electronic signature during a financial transaction",
08342398,,"Banking system controlled responsive to data bearing records",
08342399,,"Conversion of credits to funds",
08342400,,"Systems controlled by data bearing records for maintaining inventory data",
08342401,,"Code reading apparatus and control method",
08342402,,"RFID electronic label",
08342403,,"Compact optical reader system",
08342404,,"Illumination setting support apparatus of optical information reading apparatus",
08342405,,"Light pipe illumination system and method",
08342406,,"System and method for data transfer through animated barcodes",
08342407,,"System and method for pairing a bluetooth device with a point-of-sale terminal",
08342408,,"Device and system for processing image data representing bar codes",
08342409,,"Object proximity sensor recessed into imaging reader",
08342410,,"Method and apparatus for increasing brightness of aiming pattern in imaging scanner",
08342411,,"Bar code reading device for reading 1D or 2D bar code symbols",
08342412,,"Transaction product with electrical circuit",
08342413,,"Method for enhancing document security and device for implementing said method",
08342414,,"Multiface document",
08342415,,"Method of conducting a transaction using an NFC device",
08342416,,"Wireless IC device, wireless IC module and method of manufacturing wireless IC module",
08342417,,"Method for optimized reading of certificates having radiofrequency transponders, set of suitable certificates and document containing the same",
08342418,,Thermo-valve,
08342419,,"Prefabricated stand for hydronic systems",
08342420,,"Recyclable plastic structural articles and method of manufacture",
08342421,,"Texture material for covering a repaired portion of a textured surface",
08342422,,"Drink container straw",
08342423,,"Fuel injection apparatus",
08342424,,"Fuel injection apparatus",
08342425,,"Multi-point low pressure inductively heated fuel injector with heat exchanger",
08342426,,"Method for adjusting telescopic water pipe and structure thereof",
08342427,,"Lawn and tree fertilizing device installable on sprinkler system",
08342428,,"Refillable sprayer",
08342429,,"Sanitary outlet fitting",
08342430,,"Fuel injection valve",
08342431,,"Jet diffusor having a withdrawal mechanism",
08342432,,"Electrostatic atomizer and its cleaning method",
08342433,,"Apparatus and method for processing recyclable asphalt materials",
08342434,,"Cutting wheels for grinder pumps",
08342435,,"Hammer mill hammer",
08342436,,"Pulverizing screw, pulverizing casing and pulverizer for food waste treatment apparatus having the same",
08342437,,"Deflaker plate and methods relating thereto",
08342438,,"Spinning reel spool support structure",
08342439,,"Media storing and feeding device with maximum angular speed of reels reduced",
08342440,,"Miniature robotic vehicle with ground and flight capability",
08342441,,"VTOL vehicle with coaxially tilted or tiltable rotors",
08342442,,"Advanced airship technologies",
08342443,,"Wing-engine combination, an aircraft, and a wing section of an aircraft comprising an engine bleed-air duct arrangement",
08342444,,"Fail safe extended torque box strut-to-wing mount",
08342445,,"Horizontal tail load alleviation system",
08342446,,"Airplane with a modifiable surface of vertical empannage",
08342447,,"Morphing control surface transition",
08342448,,"Floor module of a cargo deck in the hull of an aircraft",
08342449,,"Vertically movable passageway for rest rooms in ceiling region",
08342450,,"Seating arrangement of a vehicle compartment",
08342451,,"Variable pitch airfoils",
08342452,,"Structural element for covering an elongate gap on an aerodynamic surface of an aircraft",
08342453,,"System for airborne transport of flammable liquids",
08342454,,"Cooling systems",
08342455,,"Method of assisting piloting, piloting assistance means, and a piloting assistance device for a rotorcraft using said piloting assistance means to implement said piloting assistance method",
08342456,,"Wing tip device",
08342457,,"Shape-changing structure member with embedded spring",
08342458,,"Electric device cord handler",
08342459,,"Wire organizer",
08342460,,"Device for fastening a connector piece to a carrier piece and fastening arrangement having such a device",
08342461,,"Collapsible waste and recycling bag holder",
08342462,,"Support apparatus",
08342463,,"Swing support connector",
08342464,,Stand,
08342465,,"Height adjustable column, in particular for tables",
08342466,,"Mounting bracket with multidimensional stability",
08342467,,"Apparatus for hand control, pressure amplification, and stabilization of medical and industrial devices",
08342468,,"Drink container holding device",
08342469,,"Positioning system for a suspended medical device",
08342470,,"Hangers and methods of hanging items",
08342471,,"Support apparatus",
08342472,,"Adjustable wall hanger",
08342473,,"Thrust mounting arrangement",
08342474,,"Modular support, assemblies, methods and systems",
08342475,,"Mounting bracket and damper system for hanging and use of a punching bag",
08342476,,"Stirrer stand",
08342477,,"Hinged clamp bracket",
08342478,,"Valve actuator assembly and methods of using the same",
08342479,,"Solenoid controlled valve for fluid media",
08342480,,"Substance communicating device with mechanically energized connector",
08342481,,"Pivot rings for coupler devices and coupler devices comprising the same",
08342482,,"Pry bar with adjustable and lockable arms",
08342483,,"Hinged wire installation tool",
08342484,,"Anchor windlass for boats",
08342485,,"Compression post mount",
08342486,,"Durable steam injector device",
08342487,,"Anti-roll leaf spring suspension",
08342488,,"Damping cylinder with annular bladder",
08342489,,"Handlebar vibration damping assembly",
08342491,,"Transport system for transportation of a spar",
08342492,,"Devices for reducing or eliminating defects in polymer workpieces",
08342493,,"Anti-drift turning roll system",
08342494,,"Aligning structure for a power line and sensor",
08342495,,"Sports equipment holding device",
08342496,,"Printing system, printing apparatus, job processing method, storage medium, and program",
08342497,,"Sheet processing apparatus",
08342498,,"Sheet post-processing apparatus and image forming apparatus",
08342499,,"Sheet processing apparatus and sheet processing system",
08342500,,"Sheet conveying apparatus, image forming apparatus, and image reading apparatus",
08342501,,"Sheet feeding device and image forming apparatus with a plurality of sheet feed trays",
08342502,,"Sheet feed device and image recording apparatus having such sheet feed device",
08342503,,"Sheet feed device and image recording apparatus having such sheet feed device",
08342504,,"Image forming apparatus with common support shaft",
08342505,,"Bottom placement sheet accumulator device and method for an inserter system",
08342506,,"Sheet conveyance apparatus, image forming apparatus, and image reading apparatus",
08342507,,"Sheet conveying device and image forming apparatus",
08342508,,"System for transferring objects",
08342509,,"Sheet feeding apparatus and image forming apparatus",
08342510,,"Apparatus for feeding sheets, booklets or the like and system for sorting forwarding documents",
08342511,,"Sheet feeding device and image forming apparatus",
08342512,,"Paper sheet pick up device",
08342513,,"Sheet storage device",
08342514,,"Sheet feeding apparatus and image forming apparatus",
08342515,,"Feeding device and recording apparatus",
08342516,,"Image reading apparatus and image forming system",
08342517,,"Image forming apparatus",
08342518,,"Sheet conveying apparatus and image forming apparatus",
08342519,,"Sheet conveying device and image forming apparatus",
08342520,,"Medium registration apparatus and image forming apparatus including the same",
08342521,,"Double sheet feed detector and method",
08342522,,"Sheet conveyance apparatus and image forming apparatus",
08342523,,"Image forming apparatus with indermediate gear",
08342524,,"Virtual game",
08342525,,"Card shuffler with adjacent card infeed and card output compartments",
08342526,,"Card shuffler",
08342527,,"Five-by five cube puzzle",
08342528,,"Proposition wagering card game and method of play",
08342529,,"Automated house way indicator and activator",
08342530,,"Wagering game involving card ranges",
08342531,,"Blackjack options",
08342532,,"Draw and learn, an educational card game",
08342533,,"Systems, methods and articles to facilitate playing card games with multi-compartment playing card receivers",
08342534,,"Low and reverse pressure application hydrodynamic pressurizing seals",
08342535,,"Non-contact labyrinth seal assembly and method of construction thereof",
08342536,,"Sealing device",
08342537,,"Metal laminate gasket",
08342538,,"Gasket-end feature for sealing a T-joint assembly",
08342539,,"Clamping tool",
08342540,,"Vehicle implement and suspension limiter",
08342541,,"Apparatus and method for active spring suspension of a vehicle component",
08342542,,"Suspension device and method for supporting a wheel",
08342543,,"Method for draining and transporting large diameter hoses",
08342544,,"Utility cart",
08342545,,"Mobile cart for metal decking sheets",
08342546,,"Two-wheeled in-line vehicle with torque generator",
08342547,,"Vehicle suspension",
08342548,,"Lateral air bag for trike suspension",
08342549,,"Running board for three wheel motorcycles",
08342550,,"Adjustable step arrangement for a vehicle",
08342551,,"Retractable running board/box side step",
08342552,,"Self adjusting bicycle",
08342553,,"Mounting method for bottom bracket planetary",
08342554,,"Suspension fork",
08342555,,"Collapsible recumbent tricycle",
08342556,,"Lowrider aerodynamic truck",
08342557,,"Fifth wheel slider assembly",
08342558,,"Glider hitch for trailer fifth wheel",
08342559,,"Self locking trailer hitch",
08342560,,"Coupling lock for a trailer coupling",
08342561,,"Gliding board binding with movable medial or lateral side portion",
08342562,,"Stroller frame, particularly for transporting a child",
08342563,,"Joint protecting device for baby stroller",
08342564,,"Pram with at least one adjustable handle",
08342565,,"Cross member-integrated trunnion bracket",
08342566,,"Shear spring for vehicle suspension",
08342567,,"Airbag-equipped steering wheel device",
08342568,,"Covering element for the interior of a motor vehicle",
08342570,,"Air bag system for vehicle",
08342571,,"Airbag having a filling piece and airbag arrangement having an airbag and a gas generator",
08342572,,"Support structure for an airbag",
08342573,,"Passenger airbag system",
08342574,,"Device assisting with the locking of a steering column",
08342575,,"Ski tip connector",
08342576,,"Method and system of printing a scratch-off document",
08342577,,"Magnetic quick disconnect fitting",
08342578,,"Method and apparatus for connecting a hose to a fitting",
08342579,,"Push lock pipe connection system",
08342580,,"Lock system for a container",
08342581,,"Vehicle latch with pendulum stop on release lever",
08342582,,"Absorber element for a motor vehicle lock",
08342583,,"Vehicle panel control system",
08342584,,"Method of manufacturing a lifting sling",
08342585,,"Drum lifter",
08342586,,"Robot hand and humanoid robot having the same",
08342587,,"Carryable plastic mattress bag",
08342588,,"Insulated composite body panel structure for a refrigerated truck body",
08342589,,"Convertible trailer",
08342590,,"Truck bed having slidable tailgate",
08342591,,"Removable shade for a stroller hood",
08342592,,"Multi link retracting seal surface module",
08342593,,"Anti-extremity pinch garnish",
08342594,,"Apparatus for reducing drag on a vehicle",
08342595,,"Devices and methods for reducing vehicle drag",
08342596,,"Deformation element, motor vehicle fender bracket with deformation element, and method for producing a deformation element",
08342597,,"Work vehicle equipped with rear monitoring camera apparatus",
08342598,,"Structure including a composite panel joint",
08342599,,"Steering support member structure",
08342600,,"Central floor part of a vehicle body",
08342601,,"Roof for a recreational vehicle",
08342602,,"Car seat",
08342603,,"Seat assembly",
08342604,,"Juvenile vehicle seat with seat-back channel cover",
08342605,,"Vehicle seat lock device",
08342606,,"Multimodal headrest for vehicle seat",
08342607,,"Seat cushion with bubble elements",
08342608,,"Therapeutic back support",
08342609,,"Mining method",
08342610,,"Green concrete saw",
08342611,,"Spring loaded pick",
08342612,,"Power-driven wheel for a military vehicle",
08342613,,"Affixment system for wheel cladding",
08342614,,"Composite rim for a bicycle wheel",
08342615,,"Braking system for motor vehicles",
08342616,,"Brake control apparatus",
08342617,,"Automotive hydraulic brake system",
08342618,,"Traction control device for vehicle",
08342619,,"Refrigerator with height-adjustable receiving apparatus",
08342620,,"Driving device, recording head, and apparatus using the same",
08342621,,"Image forming apparatus",
08342622,,"Liquid ejection apparatus and method",
08342623,,"Methods of adjusting ink ejection characteristics of inkjet printing apparatus and driving the inkjet printing apparatus",
08342624,,"Recording apparatus",
08342625,,"Printer ink identification system and method",
08342626,,"Ink jet recording apparatus and discharge recovery method",
08342627,,"Adaptive filtering scheme in handheld positioning device",
08342628,,"Image forming apparatus",
08342629,,"Liquid ejecting apparatus and controlling method of the same",
08342630,,"Recording apparatus and recording position adjustment method",
08342631,,"Inkjet print apparatus and inkjet print method",
08342632,,"Printer, printing program, and printing method",
08342633,,"Dot recording device, dot recording method and recording medium recording computer program thereon",
08342634,,"Printing apparatus",
08342635,,"Inkjet recording apparatus and recording medium conveyance method for the inkjet recording apparatus",
08342636,,"Discharge rate control method for ink-jet printer, ink spread inspecting method, and oriented film forming method",
08342637,,"Suction cap device and liquid jetting apparatus provided with the same",
08342638,,"Servicing article",
08342639,,"Head cleaning method and head cleaning apparatus",
08342640,,"Image forming method",
08342641,,"Ink separators",
08342642,,"Method and latching assembly for securing replaceable unit",
08342643,,"Printhead integrated circuit with end nozzles firing at multiple dot positions",
08342644,,"Inkjet printhead for use in image forming apparatus",
08342645,,"Printing apparatus and control method therefor",
08342646,,"Ink jet print head and printing method and apparatus using the same",
08342647,,"Inkjet printing apparatus",
08342648,,"Inkjet head",
08342649,,"Printing apparatus and printing method",
08342650,,"Printhead having polysilsesquioxane coating on ink ejection face",
08342651,,"Inkjet recording head",
08342652,,"Molded nozzle plate with alignment features for simplified assembly",
08342653,,"Liquid ejecting apparatus",
08342654,,"Liquid injection recording head",
08342655,,"Liquid jet head and method for manufacturing liquid jet head",
08342656,,"Liquid ejecting head and liquid ejecting apparatus",
08342657,,"Inkjet nozzle assembly having heater element bonded to chamber wall via dielectric layer",
08342658,,"Ink jet print head",
08342659,,"Liquid discharge head and method for manufacturing the same",
08342660,,"Piezoelectric element, method for manufacturing the same, piezoelectric actuator, liquid ejecting head, and liquid ejecting apparatus",
08342661,,"Ink supplying apparatus, inkjet printing apparatus, inkjet printing head, ink supplying method and inkjet printing method",
08342663,,"Resin composition for ink supply tubes and ink supply tube",
08342664,,"Ink cartridge",
08342665,,"Protector for print head chip and ink cartridge used by the same",
08342666,,"Ink-jet image forming apparatus and method of controlling ink flow",
08342667,,"Auxiliary passage unit, liquid discharge head having the same attached thereto, attachment, ink jet head having the same attached thereto, and ink jet printer",
08342668,,"Liquid application apparatus, liquid storage method and inkjet recording apparatus",
08342669,,"Reactive ink components and methods for forming images using reactive inks",
08342670,,"Inkjet printing method and ink set",
08342671,,"Water-based coloring material, water-based ink for ink-jet recording, ink-jet recording method, and ink-jet recording apparatus",
08342672,,"Recording apparatus",
08342673,,"Printing apparatus",
08342674,,"Ink composition and inkjet recording method",
08342675,,"Newspaper production system and production method for newspaper",
08342676,,"Printing apparatus",
08342677,,"Image recording device and image recording method",
08342678,,"Inkjet recording method and recorded article",
08342679,,"Metal detectable lens carrier",
08342680,,"Eyeglass lens",
08342681,,"Eyewear for reducing symptoms of computer vision syndrome",
08342682,,"Process to mold a plastic optical article with integrated hard coating",
08342683,,"Optimizing optical aberrations in ophthalmic lenses",
08342684,,"Determination of optical adjustments for retarding myopia progression",
08342685,,"Testing/training visual perception speed and/or span",
08342686,,"Compound modulation transfer function for laser surgery and other optical applications",
08342687,,"Eye-tracking using a GPU",
08342688,,"Multifocal capable ophthalmic aberrometer",
08342689,,"Split scrolling illumination for light modulator panels",
08342690,,"Off-state light baffle for digital projection",
08342691,,"Information technology system with micro projector display",
08342692,,"Projector with heat radiating construction",
08342693,,"Dynamic projection adjusting method and projection display device",
08342694,,"Projection apparatus, method, and program for adjusting a brightness of a light source so that a calculated chromaticity indicating brightness becomes a target chromaticity",
08342695,,"High pressure discharge lamp lighting apparatus and projector",
08342696,,"System and method for displaying remote content through multiple projectors",
08342697,,"Light source unit and projector",
08342698,,"Focusing device for beam projector",
08342699,,"Electronic device with virtual keyboard function",
08342700,,"Wear and impact resistant reflective road lane markers",
08342701,,"Reflective optical element for use in an EUV system",
08342702,,"Vehicle door mirror mount structure",
08342703,,"Light emitting apparatus",
08342704,,"Lighting device, display device and television receiver",
08342705,,"Removable work light assembly for a hand tool",
08342706,,"LED lamp",
08342707,,"Multi-wavelength light-emitting module",
08342708,,"Light emitting device, light emitting system comprising the same, and method of fabricating thereof",
08342709,,"Light emitting diode module, and light fixture and method of illumination utilizing the same",
08342710,,"Loupe and lighting assembly for camera sensor dust detection",
08342711,,"Light-emitting unit adapter module",
08342712,,"Kinetic flame device",
08342713,,"Lighting system for use in motion picture and video production",
08342714,,"Mobile lighting apparatus",
08342715,,"Lens arrangement for telescopic illuminator",
08342716,,"LED heat sink module, LED module for LED heat sink module",
08342717,,"Foldable LEDs light recycling cavity",
08342718,,"Lighting fixtures having illuminated crystal panels and methods for providing illumination",
08342719,,"LED light bulb",
08342720,,"Vehicle light and road illumination device",
08342721,,"Recessed lighting remodeler fixture with sliding housing",
08342722,,"Light system",
08342723,,"Headlamp having selectable beam",
08342724,,"Rear lighting device for a vehicle",
08342725,,"Light bar",
08342726,,"Vehicle headlight having plural light sources and lenses",
08342727,,"Molded electrical socket",
08342728,,"Arrangement for cooling semiconductor light sources and floodlight having this arrangement",
08342729,,"Backlight module",
08342730,,"Illumination device, method of assembling illumination device, and liquid crystal display device",
08342731,,"Lighting device, display device and television receiver",
08342732,,"Poly night light",
08342733,,"LED lighting assemblies",
08342734,,"Vehicular light source unit",
08342735,,"Reactor comprising an annular reaction space",
08342736,,"Sonication of a medium",
08342737,,"Vibrational mixer",
08342738,,"Vertical mixer with deflectors",
08342739,,"Horological movement comprising a high oscillation frequency regulating device",
08342740,,"Oscillating weight for an automatic winding watch, including a power reserve indicator device integrated in said oscillating weight",
08342741,,"Method for operating a sensor arrangement",
08342742,,"Thermal calibrating system",
08342743,,"Method for testing a rotor blade of a wind power plant and test device",
08342744,,"Differential scanning calorimeter",
08342745,,"Method for passive determination of the operating temperature in a thermally highly loaded device, and apparatus for carrying out the method",
08342746,,"Temperature measurement system and temperature measurement method",
08342747,,"Temperature sensing circuit of semiconductor device",
08342748,,"Electronic thermometer with flex circuit location",
08342749,,"Positioning device for a storage film and storage-film reader, storage film cassette and storage-film handling device",
08342750,,"Reusable refoldable bag",
08342751,,"Guide rail with a cover strip for a linear bearing",
08342752,,"Isolation bearing restraint devices",
08342753,,"Venturi drain for self-pumping bearing rolling mills",
08342754,,"Rolling bearing and bearing arrangement comprising a rolling bearing",
08342755,,"Fiber optic connector and method for assembling",
08342756,,"Hermetic seal between a package and an optical fiber",
08342757,,"Rear-view camera unit for motor-vehicles",
08342758,,"Camera device",
08342759,,"Barrier unit",
08342760,,"Camera accessory, camera body, and camera system",
08342761,,"Coating/developing apparatus and coating/developing method",
08342762,,"Print control apparatus and control method thereof and printer control program and printer",
08342763,,"Portable printer with ribbon cartridge retaining feature",
08342764,,"Device for packaging and/or applying a cosmetic or care product, with translation driving of the product",
08342765,,"Liquid applicator",
08342766,,"Fragrance tester and method of applying a fragrance",
08342767,,"Toothbrush with integral toothpaste dispenser and associated method",
08342768,,"Sink sprayer attachment apparatus",
08342769,,"Pivot socket with cartridge bearing and vehicle steering linkage therewith",
08342770,,"Coupling device intended to connect first and second elements which are hinged with respect to one another",
08342771,,"Reinforced supporting connectors for tubular grab railings",
08342772,,"Civil engineering machine for spreading material for spreading on soils or base materials",
08342773,,"Paving apparatus",
08342774,,"Conveying system",
08342775,,"Groundwater control system with purity sensor and method",
08342776,,"Mine seal with adhesive",
08342777,,"Floating support including a turret fitted with a disconnectable buoy for mooring bottom-to-surface connection pipes and method",
08342778,,"Method and apparatus for facilitating the subterranean support of underground conduits having a fixed insertion axis",
08342779,,"Cutting insert and cutting method",
08342780,,"Shielded PCD or PCBN cutting tools",
08342781,,"Drill body",
08342782,,"Drilling tool with dust collector",
08342783,,"Key cutting machine",
08342784,,"Collapsible intermodal transport platform",
08342785,,"Trailer for transport of standardized shipping containers",
08342786,,"Container auto-lock system",
08342787,,"Fast-acting collapsible fastener",
08342788,,"Chiplessly thread-forming screw",
08342789,,"Loader work machine",
08342790,,"Method and device for stacking plate-shaped bodies",
08342791,,"Depalletizing device",
08342792,,"Article separation directly on storage and retrieval device",
08342793,,"Active surge control",
08342794,,"Stall and surge detection system and method",
08342795,,"Support member for optimizing dynamic load distribution and attenuating vibration",
08342796,,"Damping systems for use in engines",
08342797,,"Cooled gas turbine engine airflow member",
08342798,,"System and method for clearance control in a rotary machine",
08342799,,"Centrifugal fan",
08342800,,"Plastic compressor housing and method for producing same",
08342801,,"Method for controlling of at least one element of a first component of a wind turbine, control device and use of the control device",
08342802,,"Thin turbine blade with near wall cooling",
08342803,,"Blade with a cooling groove for a bladed wheel of a turbomachine",
08342804,,"Rotor disc and method of balancing",
08342805,,"Transversal conduction lightning protection system",
08342806,,"Paddle fan cover",
08342807,,"Elevation angle adjustment structure for a shaft of a wind power generator",
08342808,,"Cooling fan",
08342809,,"Device for a runner",
08342810,,"Start-up control device and method for electric scroll compressor",
08342811,,"Sensor assembly, a fluid pump and a cooler",
08342812,,"Variable speed air compressing system having AC and DC power sources",
08342813,,"Combined pumping system comprising a getter pump and an ion pump",
08342814,,"Debris removal apparatus for a pump and method",
08342815,,"Oil pump",
08342816,,"Engine-driven hydraulic pump",
08342817,,"Variable displacement vane pump",
08342818,,"Wave powered pumping apparatus",
08342819,,"System and method for mounting a cooling device and method of fabrication",
08342820,,"Cryogenic fluid circulation pump",
08342821,,"Tuned bearing",
08342822,,"Suction device for dental, medical and industrial purposes",
08342823,,"Sludge suction apparatus for offshore structure",
08342824,,"Piston compressor, particularly refrigerant compressor",
08342825,,"2 stage rotary compressor",
08342826,,"Variable capacity vane pump",
08342827,,"Hermetic compressor and refrigeration cycle device having the same",
08342828,,"Seal for a rotary vane pump",
08342829,,"Three-stage screw compressor",
08342830,,"Metal mold for tire formation, plug used in vent hole of the metal mold for tire formation, and tire manufactured using the metal mold for tire formation",
08342831,,"Controlled electrospinning of fibers",
08342832,,"Mold for shaping baseball or softball cover",
08342833,,"Three-dimensional object forming apparatus",
08342834,,"Method and apparatus for spinning and crimping a synthetic multifilament yarn",
08342835,,"Seal-ring shape forming apparatus",
08342836,,"Flexible carrier mold",
08342837,,"Resin sealing apparatus",
08342838,,"Mold with sliders",
08342839,,"Assembly for hanging a candle inside a bottle",
08342840,,"Dental retainer having improved joint",
08342841,,"Procedure specific storage block for holding implant containers and surgical tools",
08342842,,"Dental implant using a polymeric post",
08342843,,"Dental articulator reference object",
08342844,,"Visual aid and process for demonstrating the formation of colors",
08342845,,"Method and system for providing incentives in a business environment",
08342846,,"Braille writing device capable of processing information",
08342847,,"Interactive recipe preparation instruction delivery to disabled indiviuals",
08342848,,"Apparatus for developing and/or augmenting communication skills",
08342849,,"Display updating program and display updating apparatus",
08342850,,"Literacy education system for students with autistic spectrum disorders (ASD)",
08342851,,"Tissue model for testing biopsy needles",
08342852,,"Trauma training system",
08342853,,"System for displaying and interacting with palpatable feature",
08342854,,"Language-based computer generated instructional material",
08342855,,"Flexible power raceway",
08342856,,"Charging connector and method",
08342857,,"Magnetic and locking cable connectors",
08342858,,"Patch panel for use in delivering voice and data to end users",
08342859,,"Electronic component",
08342860,,"Interface board connector",
08342861,,"Compact power adapter",
08342862,,"Moveable earth pin for large form factor power connectors",
08342863,,"Connector and printed circuit board foot pattern for a connector",
08342864,,"Combination terminal",
08342865,,"Device for connecting electrical lines for boring and production installations",
08342866,,"Connector assemblies having mating sides moved by fluidic coupling mechanisms",
08342867,,"Free floating connector engagement and retention system and method for establishing a temporary electrical connection",
08342868,,"Direct plug-in connection including a cable end sleeve",
08342869,,"Electrical connector having terminal grooves with various widths",
08342870,,"Burn-in-test socket incorporating with actuating mechanism perfecting leveling of driving plate",
08342871,,"Socket connector having a housing with a latching block and a retention plate with a latching arm",
08342872,,"Socket having two plates for holding contact pins and an urging member for urging the plates together",
08342873,,"Electrical socket having suitable receiving space for a solder ball of an IC package",
08342874,,"Electrical connector with improved locking member having latch structure thereof",
08342875,,"Board-to-board connector having a sidewall portion with a sloped guide surface with cut out",
08342876,,"Electrical socket with a guide to urge a lead of an electrical component to a terminal",
08342877,,"Cable connector and cable clamp",
08342879,,"Coaxial cable connector",
08342880,,"Electrical connector with elastically held terminals",
08342881,,"Shield with integrated mating connector guides",
08342882,,"USB interface device and terminal device",
08342883,,"Electric power supply connecting device for a parameterizable electrical apparatus",
08342884,,"Dual card edge connector with top-loading male and female components",
08342885,,"Serviceable inline AC fuse holder",
08342886,,"Electrical connector with connecting bars therein to reduce cross talking",
08342887,,"Image guide wire connection",
08342888,,"Connector with overlapping ground configuration",
08342889,,"Jack having a printed circuit board with circuitry to compensate near end crosstalk and mode conversion",
08342890,,"Low profile electrical connector with two rows of contacts",
08342891,,"Electrical connector",
08342892,,"High conductivity energy-saving clamping device",
08342893,,"Stamped electrical terminal",
08342894,,"Terminal fitting",
08342895,,"Connector and metallic material for connector",
08342896,,"Flotation device with hand-operated propulsion structure",
08342897,,"Pedal propulsion system",
08342898,,"Organic electroluminescence display device and manufacturing method thereof",
08342899,,"Method of manufacturing lamp and quartz bulb",
08342900,,"Apparatus for circulating glitter particles",
08342901,,"Interactive synthesizer hoop instrument",
08342902,,"Deer call",
08342903,,"Adjustable toy vehicle track intersection assemblies",
08342904,,"Toy vehicles",
08342905,,"Optical disk restoration method and apparatus",
08342906,,"Friction sensor for polishing system",
08342907,,"Polishing state monitoring method",
08342908,,"Thermal mechanical skive for composite machining",
08342909,,"Device for machining ophthalmic lenses, the device having a plurality of machining tools placed on a swivel module",
08342910,,"Abrasive tool for use as a chemical mechanical planarization pad conditioner",
08342911,,"Truing apparatus of grinding wheel",
08342912,,"Abrasive water jet processing machine",
08342913,,"Orbital apparatus for machining a revolution metallic wall",
08342914,,"Mobile machine for screeding floor surfaces and the like",
08342915,,"Conditioning and cutting apparatus",
08342916,,"Meat processing assembly",
08342917,,"Fish scaling assembly",
08342918,,"Bird debreasting tool and methods",
08342919,,"Method and apparatus for cutting the second joint of a poultry wing and product therefrom",
08342920,,"Outflow valve having J-shaped bellmouth and cabin pressure control system employing the same",
08342921,,"Aircraft air conditioning system with cyclone dischargers",
08342922,,"Recirculation air flow arrangement for vehicle HVAC system",
08342923,,"Cover for environmental control system vent",
08342924,,"System and method for providing enhanced services to a user of a gaming application",
08342925,,"Simulated game apparatus of a virtual shuffleboard with detection system for a real puck",
08342926,,"Game aim assist",
08342927,,"Community gaming system with hybrid community and individual outcomes and awards",
08342928,,"Market-based simulation game and system",
08342929,,"Systems and methods for interactive game play",
08342930,,"Game execution control method, storage medium, and electronic instrument",
08342931,,"Games of chance based on event databases",
08342932,,"Systems, methods and articles to facilitate playing card games with intermediary playing card receiver",
08342933,,"Apparatus and method for playing poker-style games involving a draw",
08342934,,"Gaming machine allowing selection of stopping order of reels for sustaining player's anticipation, and control method thereof",
08342935,,"Integrated display and input system",
08342936,,"Slot machine and control method of game",
08342937,,"Multi-station gaming system and method",
08342938,,"Gaming machine reel having a rotatable dynamic display",
08342939,,"Slot machine hybrid pin and ball game",
08342940,,"Gaming machine for one wagered-on game symbol having extended play and method",
08342941,,"Rotor-based gaming device having a secondary award system",
08342942,,"System and method for creating betting instruments",
08342943,,"Systems and methods for providing personalized rewards for players of slot machines",
08342944,,"Persistent state systems, methods and software",
08342945,,"Wagering game with collection feature for triggering special event",
08342946,,"Computer graphics processing and display of selectable items",
08342947,,"Gaming system, gaming device and method for determining an outcome of a secondary game based on one or more events which occur in association with a primary game",
08342948,,"System, apparatus and method for saving game state and for utilizing game states on different gaming devices",
08342949,,"Method and apparatus for enabling a player to simultaneously control game play with multiple gaming devices",
08342950,,"Hidden universal player attraction game and method of play for idle gaming machines",
08342951,,"Providing offers to computer game players",
08342952,,"Gaming machine",
08342953,,"Methods and devices for gaming network management",
08342954,,"Gaming system and method of operating a gaming system providing wagering control features for wagering games",
08342955,,"Gaming system and a method of gaming",
08342956,,"Progressive wagering game with funding distribution feature",
08342957,,"Convertible in-revenue and out-of-revenue gaming system and method with a real-time player dashboard display",
08342958,,"Gaming system, gaming device and method providing tiered progressive bonusing system",
08342959,,"Methods and systems for betting with pari-mutuel payouts",
08342960,,"Information processor",
08342961,,"Computer, program, and storage medium",
08342962,,"Illuminated interface dashboard for gaming machine",
08342963,,"Methods and systems for enabling control of artificial intelligence game characters",
08342964,,"Handheld controller with gas pressure detecting members and game apparatus using same",
08342965,,"Displaying a game menu screen by flash program module in an on-line game application",
08342966,,"Wager market creation and management",
08342967,,"Online asynchronous game with player-matching mechanic based on chat characteristics",
08342968,,"Methods and system for improving a user's reaction time and accuracy in propelling an object",
08342969,,"Tripod-type constant-velocity universal joint and method of manufacturing the same",
08342970,,"Drive shaft universal joint assembly with radial elliptical projections",
08342971,,"Fixed type constant velocity universal joint",
08342972,,"Steering joint",
08342973,,"Sliding joint",
08342974,,"Ball spline",
08342975,,"Occupant propelled roundabout",
08342976,,"Gravity slide ride system",
08342977,,"Automatic baby swing",
08342978,,"Device for instructing downswing in golf swing",
08342979,,"Removably attachable training aid",
